Choice;Time;Mode;Speed;N cards;Match;Turn Time;Precision;Choice changed;Objective Value;Objective Suit;Objective Color;Choice Value;Choice Suit;Choice Color;Points Value;Points Suit;Points Color; Total;Time To Play;Time To Memorize;Time To Choose;Objective Pos Magnitude;Objective Pos Angle;Choice Pos Magnitude;Choice Pos Angle
6;60.18274;Memory;2.561358;5;1;8.466949;37;0;4;2;0;4;2;0;1;1;1;38;0.4978145;1.143557;1.336527;189.0761;72;136.1335;73.02056
0;7.833426;Memory;2.56427;6;1;7.833426;0;0;6;0;0;6;0;0;1;1;1;36;0.497458;1.028496;2.264325;189.0761;-96;141.5518;-104.693
1;16.13052;Memory;2.117837;6;1;8.297094;36;0;6;3;1;6;3;1;1;1;1;39;0.596541;0.7800273;0.7683372;189.0761;24;153.9728;28.27416
2;24.196;Memory;2.491834;6;1;8.065485;37;0;2;3;1;2;3;1;1;1;1;38;0.5030028;0.8976186;1.221234;189.0761;78;136.9869;75.59244
3;31.66398;Memory;2.541017;6;1;7.467976;37;0;7;0;0;7;0;0;1;1;1;39;0.4980674;0.7632971;0.8553151;189.0761;84;150.1581;84.95912
4;39.54452;Memory;2.611349;6;1;7.880541;38;0;9;0;0;9;0;0;1;1;1;39;0.4805561;1.160872;0.8797823;189.0761;102;159.3792;102.6807
5;47.51454;Memory;2.651101;6;1;7.97002;38;0;9;2;0;9;2;0;1;1;1;38;0.4804365;0.9449733;1.409685;189.0761;-162;152.1966;-156.7647
6;54.93635;Memory;2.633443;6;1;7.42181;38;0;0;3;1;0;3;1;1;1;1;38;0.4806588;0.8305262;1.040722;189.0761;60;145.2418;54.87672
7;63.77646;Memory;2.647186;6;1;8.840111;38;0;9;0;0;9;0;0;1;1;1;38;0.4845676;1.217883;1.26703;189.0761;120;146.3979;127.1825
0;7.410951;Memory;2.643348;7;1;7.410951;0;0;6;3;1;6;3;1;1;1;1;39;0.4807456;1.857585;0.9033177;189.0761;69.42857;137.5194;71.94827
1;15.93638;Memory;2.798341;7;1;8.525433;39;0;3;1;1;3;1;1;1;1;1;37;0.4571526;1.259847;1.857057;189.0761;-138.8571;151.6767;-150.1333
2;24.19689;Memory;2.559906;7;1;8.260509;38;0;4;0;0;4;0;0;1;1;1;37;0.497966;1.07242;1.767869;189.0761;-51.42855;166.6375;-52.71946
3;32.41325;Memory;2.495293;7;1;8.21636;37;0;9;2;0;9;2;0;1;1;1;38;0.5135679;0.9774333;1.263842;189.0761;15.42857;148.8711;12.63665
4;40.68192;Memory;2.525989;7;1;8.268661;37;0;0;2;0;0;2;0;1;1;1;38;0.4970004;1.028625;1.21309;189.0761;-102.8572;145.8949;-100.4141
5;49.38697;Memory;2.549482;7;1;8.705059;37;0;7;0;0;7;0;0;1;1;1;38;0.4979648;0.9318981;1.316475;189.0761;18;146.256;8.123208
6;56.44728;Memory;2.556529;7;1;7.06031;37;0;3;1;1;3;1;1;1;1;1;39;0.4972546;0.4979996;0.9581633;189.0761;-33.42858;174.5156;-27.82435
7;65.56742;Memory;2.587156;7;1;9.120136;38;0;0;3;1;0;3;1;1;1;1;38;0.4867687;1.624784;1.152769;189.0761;84.85715;144.7059;92.73523
0;5.845872;Memory;2.597964;8;1;5.845872;0;0;4;3;1;4;3;1;1;1;1;38;0.4973975;0.9116428;1.262537;189.0761;-171;166.1948;-175.3399
1;14.52219;Memory;2.618731;8;1;8.676313;38;0;4;0;0;4;0;0;1;1;1;37;0.4804345;1.310613;1.510316;189.0761;162;175.8169;160.5492
2;22.27121;Memory;2.556787;8;1;7.749026;37;0;9;2;0;9;2;0;1;1;1;38;0.4994566;0.8626167;1.267574;189.0761;-36;165.3955;-43.11565
3;30.31202;Memory;2.576595;8;1;8.040806;37;0;5;3;1;5;3;1;1;1;1;38;0.5007107;1.276374;1.210883;189.0761;-90;149.1906;-91.52608
4;38.78482;Memory;2.593586;8;1;8.472803;37;0;6;0;0;6;0;0;1;1;1;38;0.4828247;1.14319;1.409879;189.0761;9.000002;154.1554;3.079429
5;47.10356;Memory;2.583881;8;1;8.318737;37;0;5;1;1;5;1;1;1;1;1;37;0.4983007;1.030241;1.770396;189.0761;-171;173.9059;-175.513
6;55.61883;Memory;2.547368;8;1;8.51527;37;0;0;1;1;0;1;1;1;1;1;37;0.4970012;1.111254;1.818437;189.0761;108;153.2077;120.6747
7;65.19672;Memory;2.517855;8;1;9.577896;37;0;9;2;0;9;2;0;1;1;1;37;0.4973995;1.722937;1.586016;189.0761;-108;137.2195;-107.5062
0;11.55745;MultiSuits;2.510247;3;1;11.55745;0;0;2;2;0;2;2;0;1;1;1;36;1.663644;0;2.391251;189.0761;120;138.2504;121.8204
1;17.07288;MultiSuits;2.054375;3;1;5.515425;36;0;5;1;1;5;1;1;1;1;1;39;0.6188744;0;0.725615;189.0761;84;134.1805;81.53731
2;22.00928;MultiSuits;2.470783;3;1;4.936403;37;0;6;2;0;6;2;0;1;1;1;39;0.513568;0;0.9389558;189.0761;-138;141.6844;-140.7441
3;28.30881;MultiSuits;2.57403;3;1;6.299528;38;0;8;2;0;8;2;0;1;1;1;36;0.5015224;0;2.23476;189.0761;18;162.7864;5.295321
4;33.83245;MultiSuits;2.463677;3;1;5.523645;37;0;5;3;1;5;3;1;1;1;1;37;0.5135684;0;1.503314;189.0761;114;140.5459;116.111
5;39.88344;MultiSuits;2.470611;3;1;6.050987;37;1.227894;6;2;0;6;2;0;1;1;1;37;0.5135676;0;1.806728;189.0761;-71.99999;150.4282;-82.81541
6;47.17767;MultiSuits;2.449948;3;1;7.294228;37;0.08194801;3;3;1;3;3;1;1;1;1;34;0.5202646;0;3.2316;189.0761;-156;182.3303;-164.711
7;53.68444;MultiSuits;2.333413;3;1;6.506771;36;0;4;1;1;4;1;1;1;1;1;36;0.5470428;0;2.051512;189.0761;18;144.9566;9.215907
8;60.30054;MultiSuits;2.319767;3;1;6.616104;36;0;7;3;1;7;3;1;1;1;1;36;0.5467014;0;2.235827;189.0761;-108;137.2604;-104.5654
0;3.437432;MultiSuits;2.298913;4;1;3.437432;0;0;9;2;0;9;2;0;1;1;1;38;0.5504308;0;1.292129;189.0761;-180;182.73;172.8621
1;9.515686;MultiSuits;2.603935;4;1;6.078255;38;0.9173381;0;2;0;0;2;0;1;1;1;36;0.4836659;0;2.185729;189.0761;72;135.5121;73.99702
2;15.89585;MultiSuits;2.380535;4;1;6.380169;37;0;2;0;0;2;0;0;1;1;1;37;0.533269;0;1.99852;189.0761;-71.99999;147.5352;-74.12262
3;21.32558;MultiSuits;2.33727;4;1;5.429729;37;0;9;2;0;9;2;0;1;1;1;39;0.5354142;0;0.8805436;189.0761;-126;145.6384;-128.483
4;26.61346;MultiSuits;2.455385;4;1;5.28788;37;0;4;2;0;4;2;0;1;1;1;38;0.5171934;0;1.137697;189.0761;-180;178.3425;-177.9138
5;32.02988;MultiSuits;2.500538;4;1;5.416416;37;0;0;3;1;0;3;1;1;1;1;38;0.50046;0;1.051777;189.0761;-18;180.1971;-31.94889
6;37.8891;MultiSuits;2.5378;4;1;5.859219;37;0;6;2;0;6;2;0;1;1;1;37;0.5013428;0;1.842802;189.0761;90;156.8423;91.5568
7;44.07378;MultiSuits;2.507914;4;1;6.184681;37;0;5;0;0;5;0;0;1;1;1;37;0.5135676;0;1.934061;189.0761;-71.99999;184.2616;-74.09324
8;50.30809;MultiSuits;2.479796;4;1;6.23431;37;0;3;3;1;3;3;1;1;1;1;37;0.5156834;0;1.930276;189.0761;-108;147.3499;-112.0789
9;55.80465;MultiSuits;2.458137;4;1;5.496555;37;0;1;3;1;1;3;1;1;1;1;38;0.5135683;0;1.258027;189.0761;-36;141.9435;-38.84146
10;61.66402;MultiSuits;2.474422;4;1;5.859371;37;0.2871197;2;3;1;2;3;1;1;1;1;37;0.5200171;0;1.740276;189.0761;144;176.1242;141.1622
0;3.665628;MultiSuits;2.465826;5;1;3.665628;0;0;7;1;1;7;1;1;1;1;1;38;0.5135676;0;1.260818;189.0761;-162;166.9713;-169.3948
1;9.149871;MultiSuits;2.619591;5;1;5.484242;38;0;5;1;1;5;1;1;1;1;1;38;0.6832768;0;1.194424;189.0761;-53.99998;183.8155;-38.62949
2;14.5547;MultiSuits;2.636189;5;1;5.404829;38;0;9;1;1;9;1;1;1;1;1;38;0.4852762;0;1.241586;189.0761;-71.99999;154.3251;-85.11565
3;20.65752;MultiSuits;2.633862;5;1;6.102824;38;0;5;2;0;5;2;0;1;1;1;36;0.4836766;0;2.102474;189.0761;108;158.8883;113.9245
4;26.17175;MultiSuits;2.525087;5;1;5.514231;37;0;8;3;1;8;3;1;1;1;1;38;0.500526;0;1.083933;189.0761;90;184.0694;101.9847
5;31.54718;MultiSuits;2.561677;5;1;5.375429;37;0;0;2;0;0;2;0;1;1;1;38;0.500541;0;1.307805;189.0761;144;159.8888;143.2973
6;38.4553;MultiSuits;2.567413;5;1;6.908115;37;1.931311;2;0;0;2;0;0;1;1;1;35;0.4972503;0;2.542782;189.0761;-18;164.1355;-23.61171
7;43.99556;MultiSuits;2.483298;5;1;5.540257;37;0;0;1;1;0;1;1;1;1;1;38;0.5095888;0;1.341743;189.0761;144;162.846;158.8641
8;50.13736;MultiSuits;2.495277;5;1;6.1418;37;0;5;3;1;5;3;1;1;1;1;37;0.5138218;0;1.559526;189.0761;-36;189.4546;-34.44873
9;56.36338;MultiSuits;2.492495;5;1;6.226021;37;0;9;1;1;9;1;1;1;1;1;36;0.5015824;0;2.046437;189.0761;-90;178.484;-82.08693
10;61.82978;MultiSuits;2.465924;5;1;5.466408;37;0;7;1;1;7;1;1;1;1;1;38;0.5136437;0;1.151208;189.0761;162;160.5934;171.7874
0;3.497732;MultiSuits;2.484876;6;1;3.497732;0;0;5;1;1;5;1;1;1;1;1;38;0.5135671;0;1.093476;189.0761;-60;134.5532;-59.18222
1;9.568822;MultiSuits;2.703262;6;1;6.07109;38;0;0;0;0;0;0;0;1;1;1;37;0.4748349;0;1.655562;189.0761;78;140.9965;84.46201
2;15.91406;MultiSuits;2.562741;6;1;6.345238;37;0;3;1;1;3;1;1;1;1;1;37;0.5014604;0;1.683144;189.0761;42;150.7919;40.20881
3;21.82229;MultiSuits;2.511303;6;1;5.908231;37;0;9;0;0;9;0;0;1;1;1;37;0.5005832;0;1.563907;189.0761;144;167.6913;137.0131
4;27.60191;MultiSuits;2.500489;6;1;5.779617;37;0;7;0;0;7;0;0;1;1;1;38;0.5135672;0;1.103563;189.0761;-18;167.9664;-16.5405
5;34.04569;MultiSuits;2.540035;6;1;6.443785;37;0;6;1;1;6;1;1;1;1;1;37;0.492908;0;1.747078;189.0761;-102;132.8695;-93.71735
6;41.28378;MultiSuits;2.512773;6;1;7.238083;37;0;7;2;0;7;2;0;1;1;1;35;0.513586;0;2.582532;189.0761;144;159.9618;151.9915
7;48.25629;MultiSuits;2.433624;6;1;6.972515;37;0;1;3;1;1;3;1;1;1;1;36;0.522797;0;2.299968;189.0761;60;160.1547;67.56303
8;54.15353;MultiSuits;2.391923;6;1;5.897236;36;0;2;3;1;2;3;1;1;1;1;39;0.5301497;0;0.9733857;189.0761;-36;138.491;-28.98076
9;60.85009;MultiSuits;2.433188;6;1;6.696564;37;0;7;3;1;7;3;1;1;1;1;39;1.727936;0;0.9657433;189.0761;-60;152.7334;-68.49606
0;3.216199;MultiSuits;2.466582;7;1;3.216199;0;0;4;1;1;4;1;1;1;1;1;38;0.5209187;0;1.207306;189.0761;-172.2857;185.1698;-169.3697
1;9.026787;MultiSuits;2.646347;7;1;5.810587;38;0;0;1;1;0;1;1;1;1;1;38;0.4835341;0;1.10655;189.0761;-136.2857;157.6787;-146.1178
2;14.9291;MultiSuits;2.671536;7;1;5.902315;38;0;1;1;1;1;1;1;1;1;1;37;0.4804344;0;1.692714;189.0761;84.85715;153.7261;93.67595
3;20.72414;MultiSuits;2.582238;7;1;5.795038;37;0;9;1;1;9;1;1;1;1;1;38;0.4970013;0;1.059018;189.0761;51.42857;155.3124;59.97083
4;26.85433;MultiSuits;2.616802;7;1;6.130192;37;0;6;3;1;6;3;1;1;1;1;37;0.4804349;0;1.663831;189.0761;66.85715;149.2191;61.61649
5;32.47365;MultiSuits;2.577058;7;1;5.619316;37;0;9;3;1;9;3;1;1;1;1;38;0.4970008;0;1.075189;189.0761;69.42857;156.7632;71.82545
6;39.58369;MultiSuits;2.599616;7;1;7.110046;37;0;4;0;0;4;0;0;1;1;1;37;1.233808;0;1.761629;189.0761;-69.42856;156.6263;-73.87933
7;45.79036;MultiSuits;2.566697;7;1;6.206669;37;0;6;1;1;6;1;1;1;1;1;38;0.4976237;0;1.343488;189.0761;-102.8572;149.254;-92.15416
8;52.30931;MultiSuits;2.568142;7;1;6.518944;37;0.3409011;4;2;0;4;2;0;1;1;1;37;0.4874367;0;1.780199;189.0761;66.85715;147.8274;70.67733
9;58.11325;MultiSuits;2.545004;7;1;5.803944;37;0;3;3;1;3;3;1;1;1;1;37;0.503881;0;1.507885;189.0761;120.8571;163.374;113.5636
0;3.842013;MultiSuits;2.54011;8;1;3.842013;0;0.7574868;5;1;1;5;1;1;1;1;1;38;0.4970008;0;1.402152;189.0761;-180;201.3374;172.9989
1;10.14346;MultiSuits;2.548924;8;1;6.301442;38;0;1;3;1;1;3;1;1;1;1;38;0.4970008;0;1.42821;189.0761;-162;169.0611;-167.5408
2;15.92834;MultiSuits;2.542409;8;1;5.784885;38;0;7;2;0;7;2;0;1;1;1;38;0.4970008;0;1.174732;189.0761;-80.99999;146.2343;-89.59074
